id,title,artists
116484224,Your Love,"Jacopo Catapano, Belair"
115405905,Lighthouse,GYANI
105673641,All On Me,"Andrew Lampa, EMMA LX"
92140012,Over You,Maution
111598154,Lies,Jacopo Catapano
111091778,Used to Feel with You,NHEIRO
102573968,Awe of You,"GENPOP, Winnie Ama, Lonny"
76615892,All I Want,James Ireland
117877120,Want To Be,Maution
105357018,Wanna Feel Good,Desolid
49336722,Feels So Good,"3Angle, Daniele Sorrentino"
94456520,Feel the Rhythm,"ROROLL, Damn"
82548625,Stop My Love,"AWOL, Aleesia"
119507942,Love U,Morfeus
71489709,Skies,Martin Fritzon
78303515,Greatest Mistake,TWOFLAGS
72938491,Living It Up,"kewell, Scarlett"
98030719,Leave Me,Kailyu
66598699,Stay All Night,"GLN, Mark Vox"
98030720,Oh Baby,"Roman Hayez, Choice"
53119534,Give It Up,Showmain
65887546,Like That,Kailyu
61648269,Surrender,"Chris Leno, Rafael Amadid"
78660984,Walls,VRZ
78039394,Over You,"Andrew Shine, Alessia Labate, Strike"
