id,title,artists
701436,Teenage Dream,Katy Perry
25943032,YOUTH,Troye Sivan
25709330,Sorry,Justin Bieber
280180,Wouldnt It Be Nice,The Beach Boys
69024191,supercuts,Jeremy Zucker
26349778,ILYSB,LANY
58463339,Know Me Too Well,"New Hope Club, Danna Paola"
19044748,Sugar,Maroon 5
70943870,OK Not To Be OK,"Marshmello, Demi Lovato"
58390766,Good Thing,"Zedd, Kehlani"
50684592,Sucker,Jonas Brothers
41335310,Rise,"Jonas Blue, Jack & Jack"
6343861,Pompeii,Bastille
14212213,Burn,Ellie Goulding
34300,The Sweet Escape,"Gwen Stefani, Akon"
4299410,One More Night,Maroon 5
60453664,ily,"Surf Mesa, Emilee"
369127,Baby,"Justin Bieber, Ludacris"
32984119,Despacito,"Luis Fonsi, Daddy Yankee"
14145383,Royals,Lorde
4309529,Good Time,"Owl City, Carly Rae Jepsen"
9976316,Counting Stars,OneRepublic
2154943,Price Tag,"Jessie J, B.o.B"
2297105,Moves Like Jagger,"Maroon 5, Christina Aguilera"
10190498,Come & Get It,Selena Gomez
