id,title,artists
21194970,Greensleeves,Alice Kirwan
20185311,"Serenade No. 13 in G Major, K. 525 Eine kleine Nachtmusik II. Romanze","Northern String Quartet, Вольфганг Амадей Моцарт"
20184495,"Scenes from Childhood, Op. 15 VII. Dreaming","Baby Lullaby, Роберт Шуман"
20718250,"Nocturne in D-Flat Major, Op. 27 No. 2","Smart Baby Lullaby, Фридерик Шопен"
18616437,Opening,Best Baby Lullaby
23250465,Somewhere Near By,Baby Lullaby
20542565,Berlin Song,Smart Baby Lullaby
20184493,"Variations on an Original Theme for Orchestra, Op. 36 Enigma IX. Nimrod","Northern String Quartet, Эдуард Элгар"
23755274,Metamorphosis Metamorphosis Four,Baby Lullaby
23610803,Metamorphosis Metamorphosis Five,Best Baby Lullaby
20184494,"Le quattro stagioni, Concerto No. 4 in F Minor, Op. 8, RV 297 Winter II. Largo","Northern String Quartet, Антонио Вивальди"
20542568,I Giorni,Smart Baby Music
19117631,Any Other Name,Baby Lullaby
21364562,"Bagatelle No. 25 in A Minor, WoO 59 Für Elise","Alice Kirwan, Ludwig van Beethoven"
19214339,Written on the Sky,Martin Jacoby
20293732,Avril 14th,Baby Lullaby
20542574,Spiegel Im Spiegel,Best Baby Lullaby
