id,danceability,energy,valence,mood
spotify:track:6NnCWIWV740gP7DQ8kqdIE,0.726,0.91,0.648,Happy
spotify:track:2V4Fx72svQRxrFvNT1eq5f,0.676,0.857,0.717,Happy
spotify:track:74X2u8JMVooG2QbjRxXwR8,0.697,0.82,0.502,Happy
spotify:track:5sdQOyqq2IDhvmx2lHOpwd,0.776,0.817,0.515,Happy
spotify:track:36ylDwMUz1EqrdbfBF8vC7,0.774,0.66,0.961,Happy
spotify:track:4uOBL4DDWWVx4RhYKlPbPC,0.815,0.834,0.692,Happy
spotify:track:7gRFDGEzF9UkBV233yv2dc,0.818,0.69,0.688,Happy
spotify:track:5sbooPcNgIE22DwO0VNGUJ,0.566,0.769,0.385,Happy
spotify:track:51vRumtqbkNW9wrKfESwfu,0.795,0.875,0.375,Happy
spotify:track:0U9jNoTJeTxXToakhsb7pV,0.687,0.888,0.791,Happy
spotify:track:6rdkCkjk6D12xRpdMXy0I2,0.807,0.721,0.532,Happy
spotify:track:0IGUXY4JbK18bu9oD4mPIm,0.755,0.87,0.645,Happy
spotify:track:5zwwW9Oq7ubSxoCGyW1nbY,0.693,0.734,0.708,Happy
spotify:track:308Ir17KlNdlrbVLHWhlLe,0.808,0.903,0.922,Happy
spotify:track:4K8jDTlNhZWEdnzZVGRMtN,0.856,0.615,0.48,Happy
spotify:track:3v5o91PrUtf0nmO6j8J7dZ,0.767,0.721,0.884,Happy
spotify:track:1OBb2wZMXKNmtdyyejLIyL,0.781,0.814,0.782,Happy
spotify:track:0a4MMyCrzT0En247IhqZbD,0.593,0.935,0.783,Happy
spotify:track:6hvczQ05jc1yGlp9zhb95V,0.763,0.835,0.645,Happy
spotify:track:1OG1NoKpZZLrMqMYCk9m84,0.705,0.849,0.609,Happy
spotify:track:4QhnNyKDsAkXPwHkSnuc89,0.663,0.872,0.626,Happy
spotify:track:4Cyf87ul1le0xTWRFBoYd7,0.745,0.918,0.647,Happy
spotify:track:1t8sqIScEIP0B4bQzBuI2P,0.838,0.823,0.759,Happy
spotify:track:7GNRUsU3M4XNDDB9xle5Dz,0.905,0.962,0.906,Happy
spotify:track:69CrOS7vEHIrhC2ILyEi0s,0.841,0.384,0.597,Happy
spotify:track:63irPUP3xB74fHdw1Aw9zR,0.581,0.8,0.709,Happy
spotify:track:2O4Bb2WCkjlTPO827OnBMI,0.744,0.7,0.602,Happy
spotify:track:1abAIeSQCbdPcxWgiwDOmL,0.809,0.765,0.684,Happy
spotify:track:37ZtpRBkHcaq6hHy0X98zn,0.657,0.88,0.769,Happy
spotify:track:1o844wI52S3TjXGBwvGcc7,0.586,0.816,0.265,Happy
spotify:track:6juLaduD4STCUDWT0AYun4,0.66,0.787,0.199,Happy
spotify:track:4XPXrcpyNr30Km6aPiflJy,0.689,0.771,0.482,Happy
spotify:track:2DmRXiyn03tOqKgEJXlaiJ,0.794,0.762,0.482,Happy
spotify:track:6Po0reh8h94W5WOdA77BW5,0.626,0.918,0.766,Happy
spotify:track:02wk5BttM0QL38ERjLPQJB,0.752,0.65,0.532,Happy
spotify:track:0bMoNdAnxNR0OuQbGDovrr,0.879,0.784,0.83,Happy
spotify:track:7uQZVznj0uQOGC9KhV2Mg6,0.806,0.653,0.85,Happy
spotify:track:0ckILmtBH2r5UFOtTf2cN0,0.665,0.914,0.575,Happy
spotify:track:5aaE27JUylnG7aPtGJPrrC,0.557,0.798,0.63,Happy
spotify:track:1iNvVaWmlKJns2LNTXN39Q,0.744,0.897,0.615,Happy
spotify:track:5Q1tv4GTxP3IJeGMOKdrFO,0.613,0.73,0.576,Happy
spotify:track:4lR8sYGMGZPvthF2yUfo7T,0.799,0.675,0.594,Happy
spotify:track:5qI5EUqfDJpQ7w6sMECK7U,0.795,0.869,0.525,Happy
spotify:track:2pIUpMhHL6L9Z5lnKxJJr9,0.811,0.648,0.695,Happy
spotify:track:24nK8tW7Pt3Inh2utttuoG,0.782,0.731,0.824,Happy
spotify:track:0RDqNCRBGrSegk16Avfzuq,0.772,0.907,0.783,Happy
spotify:track:7qq0EOPW4RRlqdvMBmdd73,0.804,0.633,0.67,Happy
spotify:track:38MKW2tQHtyO8djIOKlEFF,0.591,0.92,0.545,Happy
spotify:track:0Q5VnK2DYzRyfqQRJuUtvi,0.703,0.709,0.538,Happy
spotify:track:5fpyAakgFOm4YTXkgfPzvV,0.934,0.486,0.372,Sad
spotify:track:3NHSz1GyC5IeK1soZSjIIX,0.659,0.615,0.568,Happy
spotify:track:0yPQB0dC23cqu9isXsIV1l,0.855,0.841,0.838,Happy
spotify:track:6MZ92cXtJIWZqCPgSed8DG,0.651,0.726,0.782,Happy
